FY	SN	MODEL	DEST	CHASSIS	LCD PANEL	LCD_LABEL	LCD_VENDOR	INVERTER/LD	I_LABEL/LD_LABEL	TCON	T_LABEL	MAIN BOARD	M_LABEL	PSU	PSU_LABEL	REMOTE COMMANDER	REMOTE COMMANDER_LABEL
FY15	6800001-7000000	KDL-32R403C	UKA	GN1S_SE2	A2069349A	IS5S320VNG0101	SOEM	N/A	N/A	N/A	N/A	A2066814A	BE	149299711	AC ADAPTOR (45W)	149271811	RM-ED062
FY15	6000001-6800000	KDL-32R405C	CEI	GN1S_SE2	A2069349A	IS5S320VNG0101	SOEM	N/A	N/A	N/A	N/A	A2066802A	BE	149299411	AC ADAPTOR (60W)	149271811	RM-ED062
FY15	6000001-6800000	KDL-40R450C	CEI	GN1S_SE2	A2061931A	NS5S400VND0101	SOEM	N/A	N/A	N/A	N/A	A2066807A	BE	149299411	AC ADAPTOR (60W)	149271811	RM-ED062
FY15	2000001-2200000	KDL-40R453C	RU3	GN1S_SE2	A2069355A	NS5S400VND0101	SOEM	N/A	N/A	N/A	N/A	A2066811A	BE	149299411	AC ADAPTOR (60W)	149271811	RM-ED062
FY15	6000001-6800000	KDL-40R453C	CEI	GN1S_SE2	A2061931A	NS5S400VND0101	SOEM	N/A	N/A	N/A	N/A	A2066811A	BE	149299411	AC ADAPTOR (60W)	149271811	RM-ED062
FY15	6800001-7000000	KDL-40R453C	UKA	GN1S_SE2	A2061931A	NS5S400VND0101	SOEM	N/A	N/A	N/A	N/A	A2071494A	BE	149299411	AC ADAPTOR (60W)	149271811	RM-ED062
FY15	7000001-7200000	KDL-40R453C	RU3	GN1S_SE2	A2061931A	NS5S400VND0101	SOEM	N/A	N/A	N/A	N/A	A2066811A	BE	149299411	AC ADAPTOR (60W)	149271811	RM-ED062
FY15	6000001-6800000	KDL-40R455C	CEI	GN1S_SE2	A2061931A	NS5S400VND0101	SOEM	N/A	N/A	N/A	N/A	A2066803A	BE	149299611	AC ADAPTOR (85W)	149271811	RM-ED062
FY15	6000001-6800000	KDL-32R500C	CEI	GN1S_SE2N	A2069349A	IS5S320VNG0101	SOEM	N/A	N/A	N/A	N/A	A2066828A	BE	149299712	AC ADAPTOR (45W)	149296511	RMT-TX102D
FY15	2000001-2200000	KDL-32R503C	RU3	GN1S_SE2N	A2063614A	IS5S320VNG0101	SOEM	N/A	N/A	N/A	N/A	A2066833A	BE	149299712	AC ADAPTOR (45W)	149271811	RM-ED062
FY15	6000001-6800000	KDL-32R503C	CEI	GN1S_SE2N	A2069349A	IS5S320VNG0101	SOEM	N/A	N/A	N/A	N/A	A2066833A	BE	149299712	AC ADAPTOR (45W)	149296511	RMT-TX102D
FY15	6800001-7000000	KDL-32R503C	UKA	GN1S_SE2N	A2069349A	IS5S320VNG0101	SOEM	N/A	N/A	N/A	N/A	A2066833A	BE	149299712	AC ADAPTOR (45W)	149296511	RMT-TX102D
FY15	7000001-7200000	KDL-32R503C	RU3	GN1S_SE2N	A2069349A	IS5S320VNG0101	SOEM	N/A	N/A	N/A	N/A	A2066833A	BE	149299712	AC ADAPTOR (45W)	149271811	RM-ED062
FY15	6000001-6800000	KDL-32R505C	CEI	GN1S_SE2N	A2069349A	IS5S320VNG0101	SOEM	N/A	N/A	N/A	N/A	A2066823A	BE	149299412	AC ADAPTOR (60W)	149296511	RMT-TX102D
FY15	6000001-6800000	KDL-40R550C	CEI	GN1S_SE2N	A2061931B	NS5S400VND0101	SOEM	N/A	N/A	N/A	N/A	A2066829A	BE	149299412	AC ADAPTOR (60W)	149296511	RMT-TX102D
FY15	2000001-2200000	KDL-40R553C	RU3	GN1S_SE2N	A2080735A	NS5S400VND0101	SOEM	N/A	N/A	N/A	N/A	A2066834A	BE	149299412	AC ADAPTOR (60W)	149271811	RM-ED062
FY15	6000001-6800000	KDL-40R553C	CEI	GN1S_SE2N	A2061931B	NS5S400VND0101	SOEM	N/A	N/A	N/A	N/A	A2066834A	BE	149299412	AC ADAPTOR (60W)	149296511	RMT-TX102D
FY15	6800001-7000000	KDL-40R553C	UKA	GN1S_SE2N	A2061931B	NS5S400VND0101	SOEM	N/A	N/A	N/A	N/A	A2066834A	BE	149299412	AC ADAPTOR (60W)	149296511	RMT-TX102D
FY15	7000001-7200000	KDL-40R553C	RU3	GN1S_SE2N	A2061931B	NS5S400VND0101	SOEM	N/A	N/A	N/A	N/A	A2066834A	BE	149299412	AC ADAPTOR (60W)	149271811	RM-ED062
FY15	6000001-6800000	KDL-40R555C	CEI	GN1S_SE2N	A2061931B	NS5S400VND0101	SOEM	N/A	N/A	N/A	N/A	A2066824A	BE	149299612	AC ADAPTOR (85W)	149296511	RMT-TX102D
FY15	6000001-6800000	KDL-48R550C	CEI	GN1S_SE2N	A2061940A	NS5S480VND0101	SOEM	N/A	N/A	N/A	N/A	A2066830A	BE	149299612	AC ADAPTOR (85W)	149296511	RMT-TX102D
FY15	2000001-2200000	KDL-48R553C	RU3	GN1S_SE2N	A2080736A	NS5S480VND0101	SOEM	N/A	N/A	N/A	N/A	A2066835A	BE	149300012	AC ADAPTOR (85W)	149271811	RM-ED062
FY15	6000001-6800000	KDL-48R553C	CEI	GN1S_SE2N	A2061940A	NS5S480VND0101	SOEM	N/A	N/A	N/A	N/A	A2066835A	BE	149299612	AC ADAPTOR (85W)	149296511	RMT-TX102D
FY15	6800001-7000000	KDL-48R553C	UKA	GN1S_SE2N	A2061940A	NS5S480VND0101	SOEM	N/A	N/A	N/A	N/A	A2066835A	BE	149299612	AC ADAPTOR (85W)	149296511	RMT-TX102D
